,word,rank,country,theme
220,man,1.0,All countries,No theme
143,first,2.0,All countries,empowerment
200,kill,3.0,All countries,crime and violence
102,die,4.0,All countries,crime and violence
28,baby,5.0,All countries,female stereotypes
261,police,6.0,All countries,crime and violence
94,death,7.0,All countries,crime and violence
66,child,8.0,All countries,female stereotypes
92,daughter,9.0,All countries,female stereotypes
237,murder,10.0,All countries,crime and violence
20,arrest,11.0,All countries,crime and violence
282,rape,12.0,All countries,crime and violence
364,time,13.0,All countries,No theme
132,family,14.0,All countries,female stereotypes
173,home,15.0,All countries,No theme
294,reveal,16.0,All countries,No theme
217,love,17.0,All countries,female stereotypes
40,black,18.0,All countries,"race, ethnicity and identity"
168,help,19.0,All countries,No theme
2,accuse,20.0,All countries,crime and violence
181,husband,21.0,All countries,No theme
93,dead,22.0,All countries,crime and violence
400,young,23.0,All countries,No theme
25,attack,24.0,All countries,crime and violence
336,star,25.0,All countries,empowerment
312,sex,26.0,All countries,female stereotypes
266,pregnant,27.0,All countries,female stereotypes
71,claim,28.0,All countries,No theme
140,fight,29.0,All countries,crime and violence
393,win,30.0,All countries,empowerment
44,body,31.0,All countries,female stereotypes
395,work,32.0,All countries,empowerment
215,lose,33.0,All countries,No theme
318,shoot,34.0,All countries,crime and violence
305,school,35.0,All countries,No theme
392,wife,36.0,All countries,female stereotypes
234,mom,37.0,All countries,female stereotypes
23,assault,38.0,All countries,crime and violence
80,court,39.0,All countries,crime and violence
172,hit,40.0,All countries,crime and violence
207,lead,41.0,All countries,empowerment
304,save,42.0,All countries,No theme
46,boy,43.0,All countries,No theme
0,abuse,44.0,All countries,crime and violence
135,father,45.0,All countries,No theme
47,boyfriend,46.0,All countries,No theme
63,change,47.0,All countries,No theme
39,birth,48.0,All countries,female stereotypes
142,fire,49.0,All countries,crime and violence
359,teen,50.0,All countries,No theme
191,jail,51.0,All countries,crime and violence
131,fall,52.0,All countries,crime and violence
77,cop,53.0,All countries,crime and violence
213,little,54.0,All countries,No theme
34,beat,55.0,All countries,crime and violence
193,job,56.0,All countries,empowerment
176,hospital,57.0,All countries,crime and violence
146,force,58.0,All countries,crime and violence
313,sexual,59.0,All countries,female stereotypes
165,head,60.0,All countries,No theme
379,victim,61.0,All countries,female stereotypes
205,law,62.0,All countries,crime and violence
198,kid,63.0,All countries,female stereotypes
139,feel,64.0,All countries,female stereotypes
387,wear,65.0,All countries,No theme
342,student,66.0,All countries,No theme
106,doctor,67.0,All countries,empowerment
