,year,country,word,frequency,count,freq_prop_headlines,word_len,freq_rank,hfreq_rank,theme
141,2010,India,journalist,0,1584,0.0,10,11,11,empowerment
142,2011,India,journalist,1,2438,0.000410172,10,11,11,empowerment
143,2012,India,journalist,1,3634,0.000275179,10,11,11,empowerment
144,2013,India,journalist,7,4910,0.001425662,10,11,11,empowerment
145,2014,India,journalist,13,7502,0.001732871,10,11,11,empowerment
146,2015,India,journalist,18,10532,0.001709077,10,11,11,empowerment
147,2016,India,journalist,30,14012,0.0021410220000000002,10,11,11,empowerment
148,2017,India,journalist,47,17097,0.00274902,10,11,11,empowerment
149,2018,India,journalist,72,19170,0.0037558690000000002,10,11,11,empowerment
150,2019,India,journalist,54,20849,0.0025900520000000002,10,11,11,empowerment
151,2020,India,journalist,52,21942,0.002369884,10,11,11,empowerment
152,2021,India,journalist,65,12622,0.005149739,10,11,11,empowerment
277,2010,India,cricketer,0,1584,0.0,9,20,20,empowerment
278,2011,India,cricketer,0,2438,0.0,9,20,20,empowerment
279,2012,India,cricketer,0,3634,0.0,9,20,20,empowerment
280,2013,India,cricketer,4,4910,0.000814664,9,20,20,empowerment
281,2014,India,cricketer,6,7502,0.0007997869999999999,9,20,20,empowerment
282,2015,India,cricketer,11,10532,0.0010444360000000001,9,20,20,empowerment
283,2016,India,cricketer,14,14012,0.000999144,9,20,20,empowerment
284,2017,India,cricketer,48,17097,0.00280751,9,20,20,empowerment
285,2018,India,cricketer,40,19170,0.0020865939999999998,9,20,20,empowerment
286,2019,India,cricketer,66,20849,0.003165619,9,20,20,empowerment
287,2020,India,cricketer,42,21942,0.0019141370000000002,9,20,20,empowerment
288,2021,India,cricketer,56,12622,0.004436698,9,20,20,empowerment
294,2010,India,dream,0,1584,0.0,5,21,21,empowerment
295,2011,India,dream,12,2438,0.0049220670000000005,5,21,21,empowerment
296,2012,India,dream,17,3634,0.004678041,5,21,21,empowerment
297,2013,India,dream,12,4910,0.0024439920000000003,5,21,21,empowerment
298,2014,India,dream,19,7502,0.0025326579999999997,5,21,21,empowerment
299,2015,India,dream,52,10532,0.004937334,5,21,21,empowerment
300,2016,India,dream,53,14012,0.0037824720000000003,5,21,21,empowerment
301,2017,India,dream,76,17097,0.004445224,5,21,21,empowerment
302,2018,India,dream,65,19170,0.003390715,5,21,21,empowerment
303,2019,India,dream,130,20849,0.0062353109999999995,5,21,21,empowerment
304,2020,India,dream,79,21942,0.0036004009999999996,5,21,21,empowerment
305,2021,India,dream,55,12622,0.004357471,5,21,21,empowerment
311,2010,India,ceo,0,1584,0.0,3,22,22,empowerment
312,2011,India,ceo,9,2438,0.00369155,3,22,22,empowerment
313,2012,India,ceo,15,3634,0.004127683,3,22,22,empowerment
314,2013,India,ceo,17,4910,0.0034623220000000003,3,22,22,empowerment
315,2014,India,ceo,37,7502,0.004932018,3,22,22,empowerment
316,2015,India,ceo,45,10532,0.004272693,3,22,22,empowerment
317,2016,India,ceo,48,14012,0.003425635,3,22,22,empowerment
318,2017,India,ceo,54,17097,0.0031584490000000002,3,22,22,empowerment
319,2018,India,ceo,58,19170,0.003025561,3,22,22,empowerment
320,2019,India,ceo,68,20849,0.003261547,3,22,22,empowerment
